Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Costa Rica,Central America and Caribbean,2012,8.60 ,9.90 ,90.37 ,3.17 ,91.00 ,95.00 ,27.00 ,90.00 ,91.00 ,0.18 ,10945.00 ,4.69 ,1.80 ,1.70 ,8.50 ,0.00 ,1.00 ,79.10 
Costa Rica,Central America and Caribbean,2007,9.70 ,11.10 ,94.64 ,4.25 ,89.00 ,84.00 ,26.50 ,89.00 ,89.00 ,0.16 ,9725.00 ,4.40 ,1.90 ,1.90 ,8.10 ,0.00 ,1.00 ,78.40 
Costa Rica,Central America and Caribbean,2010,9.20 ,10.50 ,92.08 ,3.74 ,89.00 ,79.00 ,26.80 ,93.00 ,88.00 ,0.18 ,10237.00 ,4.58 ,1.80 ,1.80 ,8.30 ,0.00 ,1.00 ,78.80 
Costa Rica,Central America and Caribbean,2009,9.30 ,10.70 ,92.93 ,4.14 ,87.00 ,84.00 ,26.70 ,80.00 ,86.00 ,0.17 ,9838.00 ,4.52 ,1.90 ,1.80 ,8.40 ,0.00 ,1.00 ,78.60 
Costa Rica,Central America and Caribbean,2001,10.50 ,12.60 ,98.27 ,4.25 ,80.00 ,86.00 ,25.90 ,92.00 ,91.00 ,0.13 ,7805.00 ,4.03 ,2.30 ,2.20 ,8.00 ,0.00 ,1.00 ,77.60 
Costa Rica,Central America and Caribbean,2008,9.50 ,10.90 ,93.79 ,4.29 ,89.00 ,89.00 ,26.60 ,89.00 ,90.00 ,0.16 ,10053.00 ,4.46 ,1.90 ,1.80 ,8.40 ,0.00 ,1.00 ,78.50 
Costa Rica,Central America and Caribbean,2005,9.90 ,11.30 ,95.80 ,4.11 ,90.00 ,86.00 ,26.30 ,91.00 ,91.00 ,0.15 ,8606.00 ,4.29 ,2.00 ,2.00 ,7.90 ,0.00 ,1.00 ,78.10 
Costa Rica,Central America and Caribbean,2013,8.20 ,9.60 ,88.80 ,3.02 ,94.00 ,92.00 ,27.10 ,95.00 ,95.00 ,0.19 ,11090.00 ,4.74 ,1.70 ,1.70 ,8.50 ,0.00 ,1.00 ,79.20 
Costa Rica,Central America and Caribbean,2002,10.10 ,12.10 ,97.53 ,4.16 ,94.00 ,86.00 ,26.00 ,94.00 ,94.00 ,0.14 ,7940.00 ,4.10 ,2.20 ,2.20 ,8.00 ,0.00 ,1.00 ,77.70 
Costa Rica,Central America and Caribbean,2011,8.90 ,10.20 ,91.22 ,3.21 ,84.00 ,80.00 ,26.90 ,82.00 ,85.00 ,0.18 ,10559.00 ,4.63 ,1.80 ,1.70 ,8.40 ,0.00 ,1.00 ,78.90 
Cote d'Ivoire,Africa,2004,87.50 ,129.50 ,453.55 ,0.85 ,67.00 ,64.00 ,23.00 ,76.00 ,67.00 ,2.65 ,1583.00 ,17.97 ,7.30 ,7.30 ,3.60 ,0.00 ,1.00 ,49.80 
Cote d'Ivoire,Africa,2011,72.90 ,103.10 ,416.70 ,1.14 ,62.00 ,64.00 ,23.50 ,58.00 ,62.00 ,1.16 ,1559.00 ,21.03 ,6.10 ,6.00 ,4.40 ,0.00 ,1.00 ,53.60 
Cote d'Ivoire,Africa,2006,83.40 ,122.00 ,438.23 ,0.81 ,77.00 ,64.00 ,23.20 ,76.00 ,77.00 ,2.12 ,1575.00 ,18.75 ,7.00 ,6.90 ,3.80 ,0.00 ,1.00 ,50.60 
Cote d'Ivoire,Africa,2000,95.60 ,143.30 ,456.16 ,4.65 ,59.00 ,64.00 ,22.70 ,66.00 ,65.00 ,3.99 ,1848.00 ,16.45 ,8.10 ,8.10 ,3.30 ,0.00 ,1.00 ,49.60 
Cote d'Ivoire,Africa,2007,81.10 ,118.20 ,430.57 ,0.91 ,76.00 ,64.00 ,23.30 ,75.00 ,76.00 ,1.85 ,1558.00 ,19.17 ,6.80 ,6.70 ,3.90 ,0.00 ,1.00 ,51.10 
Cote d'Ivoire,Africa,2008,78.70 ,114.20 ,427.10 ,0.97 ,74.00 ,64.00 ,23.30 ,58.00 ,74.00 ,1.66 ,1596.00 ,19.61 ,6.60 ,6.60 ,4.00 ,0.00 ,1.00 ,51.70 
Cote d'Ivoire,Africa,2013,69.10 ,97.00 ,407.64 ,1.22 ,80.00 ,64.00 ,23.60 ,79.00 ,80.00 ,0.84 ,1769.00 ,22.09 ,5.80 ,5.70 ,4.70 ,0.00 ,1.00 ,54.90 
Cote d'Ivoire,Africa,2003,89.60 ,133.10 ,461.21 ,4.65 ,63.00 ,64.00 ,22.90 ,68.00 ,61.00 ,2.91 ,1567.00 ,17.60 ,7.50 ,7.50 ,3.50 ,0.00 ,1.00 ,49.60 
Cote d'Ivoire,Africa,2001,93.70 ,140.10 ,462.51 ,4.67 ,59.00 ,64.00 ,22.70 ,70.00 ,66.00 ,3.66 ,1765.00 ,16.85 ,7.90 ,7.90 ,3.30 ,0.00 ,1.00 ,49.50 
Cote d'Ivoire,Africa,2009,76.60 ,109.90 ,423.64 ,0.99 ,81.00 ,64.00 ,23.40 ,77.00 ,81.00 ,1.45 ,1616.00 ,20.06 ,6.50 ,6.40 ,4.10 ,0.00 ,1.00 ,52.30 
Cote d'Ivoire,Africa,2002,91.60 ,136.70 ,468.87 ,4.56 ,48.00 ,64.00 ,22.80 ,70.00 ,64.00 ,3.20 ,1679.00 ,17.23 ,7.70 ,7.70 ,3.40 ,0.00 ,1.00 ,49.50 
Cote d'Ivoire,Africa,2012,71.00 ,100.10 ,413.24 ,1.20 ,82.00 ,64.00 ,23.60 ,83.00 ,82.00 ,1.00 ,1637.00 ,21.55 ,5.90 ,5.90 ,4.50 ,0.00 ,1.00 ,54.30 
Cote d'Ivoire,Africa,2010,74.70 ,106.30 ,420.17 ,1.12 ,85.00 ,64.00 ,23.50 ,81.00 ,85.00 ,1.24 ,1687.00 ,20.53 ,6.30 ,6.20 ,4.20 ,0.00 ,1.00 ,53.00 
Cote d'Ivoire,Africa,2015,65.70 ,90.80 ,396.46 ,1.54 ,83.00 ,64.00 ,23.70 ,81.00 ,83.00 ,0.63 ,1973.00 ,23.23 ,5.50 ,5.50 ,5.00 ,0.00 ,1.00 ,56.10 
Cote d'Ivoire,Africa,2005,85.20 ,125.60 ,445.89 ,0.85 ,76.00 ,64.00 ,23.10 ,87.00 ,76.00 ,2.33 ,1565.00 ,18.35 ,7.20 ,7.10 ,3.70 ,0.00 ,1.00 ,50.10 
Cote d'Ivoire,Africa,2014,67.30 ,93.60 ,402.05 ,1.35 ,76.00 ,64.00 ,23.70 ,76.00 ,76.00 ,0.73 ,1887.00 ,22.65 ,5.60 ,5.60 ,4.40 ,0.00 ,1.00 ,55.50 
Croatia,European Union,2006,5.50 ,6.40 ,109.30 ,10.98 ,96.00 ,98.00 ,26.20 ,96.00 ,96.00 ,0.02 ,11960.00 ,4.31 ,1.80 ,1.80 ,9.90 ,1.00 ,0.00 ,75.80 
Croatia,European Union,2009,4.90 ,5.70 ,103.11 ,11.11 ,97.00 ,98.00 ,26.60 ,96.00 ,96.00 ,0.02 ,11871.00 ,4.31 ,1.70 ,1.60 ,10.60 ,1.00 ,0.00 ,76.20 
Croatia,European Union,2003,6.30 ,7.30 ,117.91 ,12.99 ,96.00 ,98.00 ,25.90 ,95.00 ,94.00 ,0.02 ,10510.00 ,4.30 ,1.90 ,1.90 ,9.80 ,1.00 ,0.00 ,74.60 
Croatia,European Union,2010,4.70 ,5.50 ,101.45 ,10.71 ,97.00 ,98.00 ,26.70 ,97.00 ,97.00 ,0.02 ,11749.00 ,4.30 ,1.60 ,1.60 ,10.80 ,1.00 ,0.00 ,76.50 
Croatia,European Union,2007,5.30 ,6.20 ,106.43 ,11.36 ,95.00 ,98.00 ,26.30 ,96.00 ,96.00 ,0.02 ,12550.00 ,4.31 ,1.80 ,1.70 ,10.10 ,1.00 ,0.00 ,75.70 
Croatia,European Union,2005,5.80 ,6.70 ,112.17 ,10.72 ,96.00 ,98.00 ,26.10 ,96.00 ,96.00 ,0.02 ,11400.00 ,4.31 ,1.80 ,1.80 ,9.70 ,1.00 ,0.00 ,75.20 
Croatia,European Union,2004,6.10 ,7.00 ,115.04 ,12.42 ,96.00 ,98.00 ,26.00 ,96.00 ,96.00 ,0.02 ,10943.00 ,4.30 ,1.90 ,1.90 ,9.70 ,1.00 ,0.00 ,75.50 
Croatia,European Union,2011,4.50 ,5.30 ,99.79 ,11.01 ,97.00 ,98.00 ,26.80 ,96.00 ,96.00 ,0.02 ,11780.00 ,4.28 ,1.60 ,1.50 ,11.00 ,1.00 ,0.00 ,76.80 
Croatia,European Union,2008,5.10 ,5.90 ,104.77 ,11.36 ,97.00 ,98.00 ,26.40 ,96.00 ,96.00 ,0.02 ,12790.00 ,4.31 ,1.70 ,1.70 ,10.30 ,1.00 ,0.00 ,75.90 
Croatia,European Union,2013,4.30 ,5.10 ,95.50 ,10.39 ,96.00 ,97.00 ,27.00 ,96.00 ,96.00 ,0.02 ,11537.00 ,4.26 ,1.50 ,1.50 ,11.00 ,1.00 ,0.00 ,77.10 
Croatia,European Union,2014,4.30 ,5.00 ,92.86 ,9.50 ,95.00 ,97.00 ,27.10 ,95.00 ,95.00 ,0.02 ,11544.00 ,4.24 ,1.50 ,1.50 ,11.10 ,1.00 ,0.00 ,77.50 
Croatia,European Union,2015,4.20 ,4.90 ,90.23 ,9.64 ,94.00 ,96.00 ,27.30 ,94.00 ,94.00 ,0.02 ,11933.00 ,4.20 ,1.50 ,1.40 ,11.20 ,1.00 ,0.00 ,77.30 
Croatia,European Union,2012,4.40 ,5.20 ,98.13 ,10.58 ,98.00 ,97.00 ,26.90 ,96.00 ,96.00 ,0.02 ,11547.00 ,4.27 ,1.50 ,1.50 ,11.00 ,1.00 ,0.00 ,76.90 
Croatia,European Union,2002,6.60 ,7.70 ,120.78 ,13.88 ,96.00 ,98.00 ,25.80 ,95.00 ,95.00 ,0.02 ,9962.00 ,4.30 ,2.00 ,2.00 ,9.80 ,1.00 ,0.00 ,74.70 
Croatia,European Union,2001,6.90 ,8.00 ,121.78 ,13.69 ,96.00 ,98.00 ,25.70 ,94.00 ,94.00 ,0.01 ,9428.00 ,4.30 ,2.00 ,2.00 ,9.80 ,1.00 ,0.00 ,74.50 
Croatia,European Union,2000,7.20 ,8.30 ,122.78 ,13.24 ,96.00 ,98.00 ,25.60 ,94.00 ,93.00 ,0.01 ,8806.00 ,4.47 ,2.10 ,2.10 ,9.40 ,1.00 ,0.00 ,72.80 
Cuba,Central America and Caribbean,2008,5.40 ,6.70 ,96.54 ,4.25 ,95.00 ,98.00 ,25.10 ,99.00 ,95.00 ,0.15 ,6501.00 ,11.24 ,3.40 ,3.20 ,10.60 ,0.00 ,1.00 ,78.20 
Cuba,Central America and Caribbean,2001,6.80 ,8.50 ,109.76 ,4.05 ,98.00 ,77.00 ,24.60 ,99.00 ,98.00 ,0.12 ,4222.00 ,11.16 ,3.60 ,3.40 ,9.70 ,0.00 ,1.00 ,76.90 
Cuba,Central America and Caribbean,2002,6.50 ,8.20 ,108.19 ,4.10 ,98.00 ,71.00 ,24.70 ,98.00 ,99.00 ,0.13 ,4269.00 ,11.20 ,3.50 ,3.30 ,9.50 ,0.00 ,1.00 ,77.10 
Cuba,Central America and Caribbean,2013,4.70 ,5.90 ,91.90 ,4.35 ,96.00 ,97.00 ,25.40 ,99.00 ,99.00 ,0.16 ,7318.00 ,11.28 ,3.40 ,3.30 ,11.00 ,0.00 ,1.00 ,78.50 
Cuba,Central America and Caribbean,2004,6.10 ,7.60 ,103.86 ,4.36 ,99.00 ,83.00 ,24.80 ,98.00 ,88.00 ,0.13 ,4665.00 ,11.25 ,3.40 ,3.30 ,9.80 ,0.00 ,1.00 ,77.50 
Cuba,Central America and Caribbean,2012,4.80 ,6.10 ,93.23 ,4.33 ,96.00 ,96.00 ,25.40 ,98.00 ,99.00 ,0.16 ,7138.00 ,11.26 ,3.40 ,3.20 ,10.80 ,0.00 ,1.00 ,78.40 
Cuba,Central America and Caribbean,2005,5.90 ,7.40 ,101.70 ,4.48 ,95.00 ,53.00 ,24.90 ,99.00 ,89.00 ,0.14 ,5183.00 ,11.26 ,3.40 ,3.30 ,9.90 ,0.00 ,1.00 ,77.70 
Cuba,Central America and Caribbean,2009,5.20 ,6.50 ,95.71 ,3.97 ,96.00 ,95.00 ,25.20 ,99.00 ,96.00 ,0.15 ,6601.00 ,11.23 ,3.40 ,3.20 ,10.80 ,0.00 ,1.00 ,78.30 
Cuba,Central America and Caribbean,2011,5.00 ,6.20 ,94.06 ,4.32 ,96.00 ,95.00 ,25.30 ,99.00 ,97.00 ,0.16 ,6942.00 ,11.24 ,3.40 ,3.20 ,11.30 ,0.00 ,1.00 ,78.40 
Cuba,Central America and Caribbean,2015,4.50 ,5.70 ,89.24 ,4.65 ,99.00 ,99.00 ,25.60 ,99.00 ,99.00 ,0.16 ,7694.00 ,11.32 ,3.50 ,3.30 ,11.40 ,0.00 ,1.00 ,78.60 
Cuba,Central America and Caribbean,2006,5.70 ,7.20 ,99.53 ,4.17 ,89.00 ,97.00 ,25.00 ,99.00 ,89.00 ,0.14 ,5808.00 ,11.26 ,3.40 ,3.20 ,10.10 ,0.00 ,1.00 ,77.90 
Cuba,Central America and Caribbean,2014,4.60 ,5.80 ,90.57 ,4.54 ,97.00 ,98.00 ,25.50 ,99.00 ,99.00 ,0.16 ,7379.00 ,11.31 ,3.40 ,3.30 ,11.20 ,0.00 ,1.00 ,78.50 
Cuba,Central America and Caribbean,2010,5.10 ,6.40 ,94.89 ,4.28 ,96.00 ,98.00 ,25.20 ,99.00 ,96.00 ,0.15 ,6759.00 ,11.23 ,3.40 ,3.20 ,11.00 ,0.00 ,1.00 ,78.30 
Cuba,Central America and Caribbean,2003,6.30 ,7.90 ,106.03 ,4.39 ,99.00 ,78.00 ,24.80 ,98.00 ,72.00 ,0.13 ,4419.00 ,11.23 ,3.50 ,3.30 ,9.80 ,0.00 ,1.00 ,77.30 
Cuba,Central America and Caribbean,2000,7.00 ,8.80 ,111.32 ,3.93 ,98.00 ,75.00 ,24.50 ,98.00 ,95.00 ,0.12 ,4106.00 ,11.13 ,3.60 ,3.40 ,9.60 ,0.00 ,1.00 ,76.70 
Cuba,Central America and Caribbean,2007,5.50 ,6.90 ,97.37 ,4.12 ,93.00 ,99.00 ,25.00 ,99.00 ,93.00 ,0.15 ,6236.00 ,11.25 ,3.40 ,3.20 ,10.40 ,0.00 ,1.00 ,78.00 
Cyprus,European Union,2006,3.60 ,4.20 ,62.64 ,11.48 ,93.00 ,90.00 ,26.60 ,97.00 ,97.00 ,0.04 ,26394.00 ,1.05 ,0.90 ,1.00 ,10.90 ,1.00 ,0.00 ,78.80 
Cyprus,European Union,2003,4.50 ,5.20 ,65.76 ,10.62 ,88.00 ,91.00 ,26.50 ,98.00 ,98.00 ,0.03 ,23929.00 ,0.99 ,0.90 ,1.00 ,10.40 ,1.00 ,0.00 ,78.40 
Cyprus,European Union,2000,5.60 ,6.50 ,69.06 ,9.56 ,89.00 ,91.00 ,26.30 ,97.00 ,97.00 ,0.03 ,22382.00 ,0.94 ,0.90 ,1.00 ,10.00 ,1.00 ,0.00 ,78.00 
Cyprus,European Union,2010,2.80 ,3.40 ,57.41 ,11.33 ,96.00 ,88.00 ,26.70 ,99.00 ,99.00 ,0.06 ,26020.00 ,1.11 ,0.90 ,1.00 ,11.50 ,1.00 ,0.00 ,79.40 
Cyprus,European Union,2004,4.10 ,4.80 ,64.72 ,13.03 ,88.00 ,91.00 ,26.50 ,98.00 ,98.00 ,0.04 ,24798.00 ,1.01 ,0.90 ,1.00 ,10.50 ,1.00 ,0.00 ,78.50 
Cyprus,European Union,2009,3.00 ,3.50 ,58.81 ,10.81 ,96.00 ,88.00 ,26.70 ,99.00 ,99.00 ,0.05 ,26182.00 ,1.10 ,0.90 ,1.00 ,11.30 ,1.00 ,0.00 ,79.20 
Cyprus,European Union,2011,2.70 ,3.20 ,56.02 ,10.71 ,96.00 ,88.00 ,26.80 ,99.00 ,99.00 ,0.06 ,25466.00 ,1.12 ,0.90 ,1.00 ,11.60 ,1.00 ,0.00 ,79.60 
Cyprus,European Union,2001,5.20 ,6.00 ,67.93 ,10.16 ,89.00 ,91.00 ,26.30 ,97.00 ,97.00 ,0.03 ,23018.00 ,0.96 ,0.90 ,1.00 ,10.10 ,1.00 ,0.00 ,78.10 
Cyprus,European Union,2005,3.80 ,4.50 ,63.68 ,11.41 ,88.00 ,91.00 ,26.60 ,98.00 ,98.00 ,0.04 ,25630.00 ,1.03 ,0.90 ,1.00 ,10.70 ,1.00 ,0.00 ,78.60 
Cyprus,European Union,2014,2.40 ,2.90 ,52.64 ,9.63 ,96.00 ,88.00 ,26.80 ,99.00 ,99.00 ,0.06 ,22514.00 ,1.15 ,0.90 ,1.00 ,11.90 ,1.00 ,0.00 ,80.20 
Cyprus,European Union,2002,4.80 ,5.60 ,66.80 ,11.68 ,88.00 ,91.00 ,26.40 ,98.00 ,98.00 ,0.03 ,23603.00 ,0.98 ,0.90 ,1.00 ,10.20 ,1.00 ,0.00 ,78.30 
Cyprus,European Union,2013,2.50 ,3.00 ,53.63 ,9.07 ,96.00 ,88.00 ,26.80 ,99.00 ,99.00 ,0.06 ,22682.00 ,1.14 ,0.90 ,1.00 ,12.00 ,1.00 ,0.00 ,80.00 
Cyprus,European Union,2007,3.30 ,3.90 ,61.60 ,11.58 ,93.00 ,93.00 ,26.70 ,97.00 ,97.00 ,0.05 ,27155.00 ,1.06 ,0.90 ,1.00 ,11.20 ,1.00 ,0.00 ,78.90 
Cyprus,European Union,2012,2.60 ,3.10 ,54.62 ,10.58 ,96.00 ,88.00 ,26.80 ,99.00 ,99.00 ,0.06 ,24217.00 ,1.14 ,0.90 ,1.00 ,11.80 ,1.00 ,0.00 ,79.80 
Cyprus,European Union,2015,2.40 ,2.90 ,51.64 ,9.59 ,97.00 ,88.00 ,26.80 ,97.00 ,97.00 ,0.06 ,23408.00 ,1.16 ,1.00 ,1.00 ,11.90 ,1.00 ,0.00 ,80.40 
Cyprus,European Union,2008,3.10 ,3.70 ,60.21 ,12.03 ,93.00 ,89.00 ,26.70 ,97.00 ,97.00 ,0.05 ,27447.00 ,1.08 ,0.90 ,1.00 ,11.30 ,1.00 ,0.00 ,79.10 
Czechia,European Union,2001,4.30 ,5.20 ,121.66 ,13.64 ,92.00 ,98.00 ,26.50 ,97.00 ,98.00 ,0.08 ,12735.00 ,10.22 ,2.20 ,2.30 ,10.90 ,1.00 ,0.00 ,75.20 
Czechia,European Union,2015,2.50 ,3.20 ,82.54 ,12.76 ,97.00 ,99.00 ,27.00 ,97.00 ,97.00 ,0.08 ,17830.00 ,10.55 ,1.80 ,1.80 ,12.70 ,1.00 ,0.00 ,78.60 
Czechia,European Union,2013,2.50 ,3.10 ,88.75 ,12.54 ,99.00 ,99.00 ,27.00 ,99.00 ,98.00 ,0.08 ,16594.00 ,10.51 ,1.80 ,1.90 ,12.60 ,1.00 ,0.00 ,78.20 
Czechia,European Union,2012,2.60 ,3.20 ,92.04 ,12.83 ,99.00 ,99.00 ,26.90 ,99.00 ,99.00 ,0.08 ,16607.00 ,10.51 ,1.80 ,1.90 ,12.40 ,1.00 ,0.00 ,78.10 
Czechia,European Union,2004,3.70 ,4.60 ,114.30 ,13.42 ,98.00 ,98.00 ,26.60 ,96.00 ,98.00 ,0.08 ,14070.00 ,10.20 ,2.10 ,2.20 ,11.60 ,1.00 ,0.00 ,75.70 
Czechia,European Union,2014,2.50 ,3.10 ,83.99 ,12.75 ,99.00 ,96.00 ,27.00 ,99.00 ,97.00 ,0.08 ,16951.00 ,10.53 ,1.80 ,1.90 ,12.80 ,1.00 ,0.00 ,78.80 
Czechia,European Union,2008,3.00 ,3.70 ,104.52 ,13.65 ,99.00 ,98.00 ,26.70 ,99.00 ,99.00 ,0.08 ,17047.00 ,10.38 ,1.90 ,2.00 ,12.20 ,1.00 ,0.00 ,77.00 
Czechia,European Union,2003,3.90 ,4.80 ,120.23 ,13.87 ,92.00 ,98.00 ,26.60 ,97.00 ,97.00 ,0.08 ,13428.00 ,10.19 ,2.20 ,2.20 ,11.40 ,1.00 ,0.00 ,75.20 
Czechia,European Union,2011,2.60 ,3.30 ,95.58 ,12.56 ,99.00 ,98.00 ,26.90 ,99.00 ,99.00 ,0.08 ,16762.00 ,10.50 ,1.90 ,1.90 ,12.50 ,1.00 ,0.00 ,77.90 
Czechia,European Union,2002,4.10 ,5.00 ,118.75 ,13.77 ,86.00 ,98.00 ,26.50 ,97.00 ,98.00 ,0.08 ,12960.00 ,10.20 ,2.20 ,2.30 ,11.10 ,1.00 ,0.00 ,75.20 
Czechia,European Union,2010,2.70 ,3.40 ,97.85 ,12.68 ,99.00 ,98.00 ,26.80 ,99.00 ,99.00 ,0.08 ,16506.00 ,10.47 ,1.90 ,2.00 ,12.40 ,1.00 ,0.00 ,77.40 
Czechia,European Union,2009,2.90 ,3.50 ,100.76 ,13.43 ,99.00 ,98.00 ,26.80 ,99.00 ,99.00 ,0.08 ,16161.00 ,10.44 ,1.90 ,2.00 ,12.30 ,1.00 ,0.00 ,77.10 
Czechia,European Union,2005,3.60 ,4.40 ,112.14 ,13.66 ,99.00 ,98.00 ,26.60 ,96.00 ,97.00 ,0.08 ,14978.00 ,10.21 ,2.10 ,2.10 ,11.90 ,1.00 ,0.00 ,75.90 
Czechia,European Union,2006,3.40 ,4.10 ,106.54 ,13.58 ,98.00 ,98.00 ,26.70 ,98.00 ,98.00 ,0.08 ,15949.00 ,10.24 ,2.00 ,2.10 ,12.10 ,1.00 ,0.00 ,76.50 
Czechia,European Union,2007,3.20 ,3.90 ,105.30 ,13.83 ,99.00 ,98.00 ,26.70 ,99.00 ,99.00 ,0.08 ,16739.00 ,10.30 ,2.00 ,2.10 ,12.20 ,1.00 ,0.00 ,76.70 
Czechia,European Union,2000,4.50 ,5.50 ,124.38 ,13.90 ,92.00 ,98.00 ,26.50 ,98.00 ,98.00 ,0.08 ,12312.00 ,10.26 ,2.30 ,2.30 ,10.60 ,1.00 ,0.00 ,75.00 
Denmark,European Union,2009,3.60 ,4.20 ,85.81 ,10.08 ,88.00 ,85.00 ,25.30 ,89.00 ,89.00 ,0.04 ,50457.00 ,5.52 ,1.10 ,0.90 ,12.70 ,1.00 ,0.00 ,78.60 
Denmark,European Union,2004,4.30 ,5.20 ,95.00 ,11.26 ,88.00 ,88.00 ,25.10 ,95.00 ,95.00 ,0.04 ,50792.00 ,5.40 ,1.20 ,1.00 ,12.80 ,1.00 ,0.00 ,77.50 
Denmark,European Union,2014,3.50 ,4.10 ,69.27 ,9.55 ,88.00 ,84.00 ,25.30 ,94.00 ,94.00 ,0.04 ,52405.00 ,5.64 ,1.10 ,0.90 ,12.80 ,1.00 ,0.00 ,80.70 
Denmark,European Union,2012,3.50 ,4.10 ,75.09 ,9.23 ,88.00 ,87.00 ,25.30 ,94.00 ,94.00 ,0.04 ,51567.00 ,5.59 ,1.10 ,0.90 ,12.80 ,1.00 ,0.00 ,80.10 
Denmark,European Union,2003,4.50 ,5.40 ,97.29 ,11.53 ,88.00 ,88.00 ,25.10 ,96.00 ,96.00 ,0.04 ,49600.00 ,5.39 ,1.20 ,1.00 ,12.80 ,1.00 ,0.00 ,77.10 
Denmark,European Union,2001,4.70 ,5.60 ,101.22 ,11.54 ,88.00 ,87.00 ,25.00 ,97.00 ,97.00 ,0.04 ,49470.00 ,5.36 ,1.30 ,1.00 ,11.40 ,1.00 ,0.00 ,76.80 
Denmark,European Union,2015,3.50 ,4.10 ,67.17 ,9.42 ,88.00 ,80.00 ,25.30 ,93.00 ,93.00 ,0.03 ,53255.00 ,5.68 ,1.10 ,0.90 ,12.50 ,1.00 ,0.00 ,80.70 
Denmark,European Union,2007,3.80 ,4.50 ,92.72 ,10.99 ,88.00 ,88.00 ,25.20 ,87.00 ,87.00 ,0.04 ,53936.00 ,5.46 ,1.20 ,0.90 ,12.50 ,1.00 ,0.00 ,78.20 
Denmark,European Union,2006,4.00 ,4.80 ,92.12 ,11.02 ,88.00 ,91.00 ,25.20 ,93.00 ,93.00 ,0.04 ,53687.00 ,5.44 ,1.20 ,0.90 ,12.80 ,1.00 ,0.00 ,78.10 
Denmark,European Union,2010,3.50 ,4.10 ,83.93 ,10.27 ,88.00 ,85.00 ,25.30 ,90.00 ,90.00 ,0.04 ,51173.00 ,5.55 ,1.10 ,0.90 ,12.70 ,1.00 ,0.00 ,79.10 
Denmark,European Union,2005,4.20 ,5.00 ,90.20 ,11.26 ,88.00 ,91.00 ,25.10 ,93.00 ,93.00 ,0.04 ,51836.00 ,5.42 ,1.20 ,1.00 ,12.80 ,1.00 ,0.00 ,77.80 
Denmark,European Union,2000,4.70 ,5.70 ,102.39 ,11.68 ,88.00 ,89.00 ,24.90 ,97.00 ,97.00 ,0.04 ,49242.00 ,5.34 ,1.30 ,1.00 ,10.70 ,1.00 ,0.00 ,76.60 
Denmark,European Union,2002,4.60 ,5.50 ,99.93 ,11.32 ,88.00 ,92.00 ,25.00 ,98.00 ,98.00 ,0.04 ,49542.00 ,5.38 ,1.20 ,1.00 ,12.10 ,1.00 ,0.00 ,76.90 
Denmark,European Union,2013,3.50 ,4.10 ,72.38 ,9.44 ,88.00 ,86.00 ,25.30 ,94.00 ,94.00 ,0.04 ,51832.00 ,5.61 ,1.10 ,0.90 ,13.20 ,1.00 ,0.00 ,80.30 
Denmark,European Union,2011,3.40 ,4.10 ,78.10 ,10.45 ,88.00 ,86.00 ,25.30 ,91.00 ,91.00 ,0.04 ,51644.00 ,5.57 ,1.10 ,0.90 ,12.70 ,1.00 ,0.00 ,79.80 
Denmark,European Union,2008,3.70 ,4.40 ,87.31 ,10.70 ,88.00 ,87.00 ,25.20 ,88.00 ,88.00 ,0.04 ,53345.00 ,5.49 ,1.10 ,0.90 ,12.90 ,1.00 ,0.00 ,78.40 
Djibouti,Africa,2011,60.90 ,74.40 ,265.33 ,0.39 ,87.00 ,82.00 ,23.90 ,87.00 ,87.00 ,0.39 ,1452.00 ,0.85 ,5.60 ,5.50 ,4.00 ,0.00 ,1.00 ,60.70 
Djibouti,Africa,2001,78.20 ,98.60 ,321.30 ,1.33 ,88.00 ,82.00 ,23.60 ,49.00 ,53.00 ,2.19 ,781.00 ,0.73 ,6.30 ,6.10 ,3.30 ,0.00 ,1.00 ,57.10 
Djibouti,Africa,2009,64.20 ,78.80 ,279.16 ,0.47 ,89.00 ,82.00 ,23.80 ,89.00 ,89.00 ,0.48 ,1267.00 ,0.83 ,5.70 ,5.60 ,3.90 ,0.00 ,1.00 ,59.60 
Djibouti,Africa,2000,79.90 ,101.00 ,319.37 ,1.24 ,88.00 ,82.00 ,23.50 ,46.00 ,46.00 ,2.96 ,768.00 ,0.72 ,6.40 ,6.10 ,3.20 ,0.00 ,1.00 ,57.00 
Djibouti,Africa,2005,71.20 ,88.70 ,305.09 ,1.22 ,88.00 ,82.00 ,23.70 ,71.00 ,71.00 ,0.67 ,905.00 ,0.78 ,5.90 ,5.80 ,3.70 ,0.00 ,1.00 ,58.00 
Djibouti,Africa,2002,76.50 ,96.10 ,323.23 ,1.11 ,88.00 ,82.00 ,23.60 ,62.00 ,62.00 ,1.78 ,791.00 ,0.75 ,6.20 ,6.00 ,3.40 ,0.00 ,1.00 ,57.20 
